Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\obj\x86\Release\Pages\MainPage.g.i.cs,47,12,M:System.Uri.#ctor(System.String),,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///Pages/MainPage.xaml"");"
Binding.0004,AutoGenerateBindingRedirects not set and no manual redirects,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\BlueMuse.App.csproj,,,,,,,,"AutoGenerateBindingRedirects is not set in BlueMuse.App.csproj, no manual redirects found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BlueMuse\BlueMuse.wapproj,File,BlueMuse\BlueMuse.wapproj,,,,,,,,Current target framework: net451 Recommended target framework: net10.0
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,Microsoft.NETCore.Platforms 7.0.4,,,,,"Microsoft.NETCore.Platforms, 7.0.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,Microsoft.Win32.Primitives 4.3.0,,,,,"Microsoft.Win32.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,NETStandard.Library 2.0.3,,,,,"NETStandard.Library, 2.0.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.AppContext 4.3.0,,,,,"System.AppContext, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Buffers 4.6.1,,,,,"System.Buffers, 4.6.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Collections 4.3.0,,,,,"System.Collections, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Collections.Concurrent 4.3.0,,,,,"System.Collections.Concurrent, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Console 4.3.1,,,,,"System.Console, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Diagnostics.Debug 4.3.0,,,,,"System.Diagnostics.Debug, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Diagnostics.Tools 4.3.0,,,,,"System.Diagnostics.Tools, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Diagnostics.Tracing 4.3.0,,,,,"System.Diagnostics.Tracing, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Globalization 4.3.0,,,,,"System.Globalization, 4.3.0  Recommendation:  Package functionality included with new framework reference"
